( x - 16 , y - 58)
( x - 17 , y - 76)
( x - 18 , y - 75)
( x - 21 , y - 66)
( x - 21 , y - 67)
( x - 21 , y - 75)
( x - 23 , y - 89)
( x - 26 , y - 91)
( x - 29 , y - 57)
( x - 29 , y - 94)
( x - 32 , y - 89)
( x - 35 , y - 60)
( x - 42 , y - 68)
( x - 43 , y - 88)
( x - 45 , y - 64)
( x - 45 , y - 65)
( x - 62 , y - 58)
( x - 62 , y - 81)
( x - 67 , y - 86)
( x - 78 , y - 76)
( x - 82 , y - 79)
( x - 85 , y - 92)
( x - 94 , y - 86)
( x - 101 , y - 91)
( x - 104 , y - 93)
( x - 106 , y - 78)
( x - 108 , y - 90)
( x - 110 , y - 81)
( x - 122 , y - 85)
( x - 125 , y - 84)
( x - 128 , y - 88)
( x - 135 , y - 71)
( x - 140 , y - 64)
( x - 140 , y - 68)
( x - 140 , y - 71)
( x - 142 , y - 85)
( x - 143 , y - 81)
( x - 156 , y - 88)
( x - 158 , y - 59)
( x - 158 , y - 72)
( x - 173 , y - 72)
( x - 175 , y - 81)
( x - 177 , y - 73)
( x - 177 , y - 89)
( x - 177 , y - 90)
( x - 179 , y - 70)
( x - 180 , y - 78)
( x - 180 , y - 93)
( x - 183 , y - 71)
( x - 190 , y - 80)
( x - 201 , y - 85)
( x - 201 , y - 88)
( x - 202 , y - 71)
( x - 204 , y - 70)
( x - 209 , y - 72)
( x - 209 , y - 74)
( x - 220 , y - 75)
( x - 220 , y - 83)
( x - 222 , y - 81)
( x - 222 , y - 92)
( x - 223 , y - 92)
( x - 232 , y - 58)
( x - 237 , y - 68)
( x - 238 , y - 69)
( x - 245 , y - 56)
( x - 255 , y - 81)
( x - 264 , y - 78)
( x - 265 , y - 92)
( x - 267 , y - 92)
( x - 268 , y - 72)
( x - 361 , y - 146)
( x - 469 , y - 176)
( x - 470 , y - 178)
